History;Question History 0;RightAnswer;RightAnswer;WrongAnswer0,WrongAnswer1, WrongAnswer2
History;Question History 1;RightAnswer;RightAnswer;WrongAnswer0,WrongAnswer1, WrongAnswer2
History;Question History 2;RightAnswer;RightAnswer;WrongAnswer0,WrongAnswer1, WrongAnswer2
History;Question History 3;RightAnswer;RightAnswer;WrongAnswer0,WrongAnswer1, WrongAnswer2
History;Question History 4;RightAnswer;RightAnswer;WrongAnswer0,WrongAnswer1, WrongAnswer2

Geography;Question Geography 0;RightAnswer;RightAnswer;WrongAnswer0,WrongAnswer1, WrongAnswer2
Geography;Question Geography 1;RightAnswer;RightAnswer;WrongAnswer0,WrongAnswer1, WrongAnswer2
Geography;Question Geography 2;RightAnswer;RightAnswer;WrongAnswer0,WrongAnswer1, WrongAnswer2
Geography;Question Geography 3;RightAnswer;RightAnswer;WrongAnswer0,WrongAnswer1, WrongAnswer2
Geography;Question Geography 4;RightAnswer;RightAnswer;WrongAnswer0,WrongAnswer1, WrongAnswer2

